Id,Headline_Reference,Document,Headline,text
25,AIIMS doctors perform successful health surgery,"""aiim doctor perform successful health surgery""",aiim doctor perform successful health surgery aiim doctor perform successful health surgery,Health
26,IIT education tops NIRF ranking for engineering,"""iit education top nirf ranking engineering""",iit education top nirf ranking engineering iit education top nirf ranking engineering,Science
27,ISRO successfully launches space satellite,"""isro successfully launch space satellite""",isro successfully launch space satellite isro successfully launch space satellite,Science
28,youth research center receives national innovation award,"""youth research center receive national innovation award""",youth research center receive national innovation award youth research center receive national innovation award,Science
29,India launches national health vaccination drive,"""india launch national health vaccination drive""",india launch national health vaccination drive india launch national health vaccination drive,Health
30,Netflix releases new Indian finance series,"""netflix release indian finance series""",netflix release indian finance series netflix release indian finance series,Entertainment
31,Citizens protest against climate issue in Mumbai,"""citizens protest climate issue mumbai""",citizens protest climate issue mumbai citizens protest climate issue mumbai,Politics
32,Netflix releases new Indian sports series,"""netflix release indian sport series""",netflix release indian sport series netflix release indian sport series,Sports
33,RBI announces new technology policy framework,"""rbi announce technology policy framework""",rbi announce technology policy framework rbi announce technology policy framework,Technology
34,Indian music festival in education draws massive crowd,"""indian music festival education draw massive crowd""",indian music festival education draw massive crowd indian music festival education draw massive crowd,Entertainment
36,Government focuses on health development programs,"""government focus health development program""",government focus health development program government focus health development program,Health
37,India achieves milestone in technology technology,"""india achieve milestone technology technology""",india achieve milestone technology technology india achieve milestone technology technology,Technology
38,Government of India introduces new finance policy,"""government india introduce finance policy""",government india introduce finance policy government india introduce finance policy,Politics
39,Government launches finance cleanup campaign,"""government launch finance cleanup campaign""",government launch finance cleanup campaign government launch finance cleanup campaign,Politics
41,India launches national technology vaccination drive,"""india launch national technology vaccination drive""",india launch national technology vaccination drive india launch national technology vaccination drive,Technology
42,Forest restoration project begins in solar region,"""forest restoration project begin solar region""",forest restoration project begin solar region forest restoration project begin solar region,Science
43,climate company expands operations in India,"""climate company expand operation india""",climate company expand operation india climate company expand operation india,Business
44,BCCI announces schedule for women tournament,"""bcci announce schedule woman tournament""",bcci announce schedule woman tournament bcci announce schedule woman tournament,Sports
45,climate wins gold medal for India in Asian Games,"""climate win gold medal india asian games""",climate win gold medal india asian games climate win gold medal india asian games,Sports
46,Bollywood actor technology stars in new blockbuster film,"""bollywood actor technology star blockbuster film""",bollywood actor technology star blockbuster film bollywood actor technology star blockbuster film,Entertainment
47,Startups in sports sector attract global investors,"""startup sport sector attract global investor""",startup sport sector attract global investor startup sport sector attract global investor,Sports
48,Citizens protest against space issue in Mumbai,"""citizens protest space issue mumbai""",citizens protest space issue mumbai citizens protest space issue mumbai,Politics
50,Election Commission announces polls in education state,"""election commission announce poll education""",election commission announce poll education election commission announce poll education,Politics
51,PM inaugurates river project in Delhi,"""pm inaugurate river project delhi""",pm inaugurate river project delhi pm inaugurate river project delhi,Politics
52,solar wins gold medal for India in Asian Games,"""solar win gold medal india asian games""",solar win gold medal india asian games solar win gold medal india asian games,Sports
53,AIIMS doctors perform successful education surgery,"""aiim doctor perform successful education surgery""",aiim doctor perform successful education surgery aiim doctor perform successful education surgery,Education
54,CBSE implements river curriculum for schools,"""cbse implement river curriculum school""",cbse implement river curriculum school cbse implement river curriculum school,Science
55,Election Commission announces polls in cyber state,"""election commission announce poll cyber""",election commission announce poll cyber election commission announce poll cyber,Politics
56,Election Commission announces polls in women state,"""election commission announce poll woman""",election commission announce poll woman election commission announce poll woman,Politics
58,Forest restoration project begins in space region,"""forest restoration project begin space region""",forest restoration project begin space region forest restoration project begin space region,Environment
59,AIIMS doctors perform successful digital surgery,"""aiim doctor perform successful digital surgery""",aiim doctor perform successful digital surgery aiim doctor perform successful digital surgery,Technology
60,Youth volunteers organize women awareness drive,"""youth volunteer organize woman awareness drive""",youth volunteer organize woman awareness drive youth volunteer organize woman awareness drive,Entertainment
61,Bollywood actor education stars in new blockbuster film,"""bollywood actor education star blockbuster film""",bollywood actor education star blockbuster film bollywood actor education star blockbuster film,Entertainment
62,UGC introduces guidelines for solar programs,"""ugc introduce guideline solar program""",ugc introduce guideline solar program ugc introduce guideline solar program,Science
63,RBI announces new climate policy framework,"""rbi announce climate policy framework""",rbi announce climate policy framework rbi announce climate policy framework,Politics
64,ISRO plans mission to explore women planet,"""isro plan mission explore woman planet""",isro plan mission explore woman planet isro plan mission explore woman planet,Science
65,Sensex surges by women points amid market optimism,"""sensex surge woman amid market optimism""",sensex surge woman amid market optimism sensex surge woman amid market optimism,Business
66,cyber wins gold medal for India in Asian Games,"""cyber win gold medal india asian games""",cyber win gold medal india asian games cyber win gold medal india asian games,Sports
67,digital wins gold medal for India in Asian Games,"""digital win gold medal india asian games""",digital win gold medal india asian games digital win gold medal india asian games,Entertainment
68,cyber company expands operations in India,"""cyber company expand operation india""",cyber company expand operation india cyber company expand operation india,Business
69,India defeats cyber in thrilling cricket match,"""india defeat cyber thrilling cricket match""",india defeat cyber thrilling cricket match india defeat cyber thrilling cricket match,Entertainment
70,PM inaugurates youth project in Delhi,"""pm inaugurate youth project delhi""",pm inaugurate youth project delhi pm inaugurate youth project delhi,Entertainment
71,Study reveals rise in health cases across India,"""study reveal rise health india""",study reveal rise health india study reveal rise health india,Health
72,Virat Kohli achieves milestone of sports runs,"""virat kohli achieve milestone sport run""",virat kohli achieve milestone sport run virat kohli achieve milestone sport run,Sports
74,TCS introduces new AI-driven climate solution,"""tcs introduce ai-driven climate solution""",tcs introduce ai-driven climate solution tcs introduce ai-driven climate solution,Technology
75,Government focuses on space development programs,"""government focus space development program""",government focus space development program government focus space development program,Business
76,Government focuses on solar development programs,"""government focus solar development program""",government focus solar development program government focus solar development program,Politics
77,Government launches sports scholarship for students,"""government launch sport scholarship student""",government launch sport scholarship student government launch sport scholarship student,Sports
78,ISRO plans mission to explore space planet,"""isro plan mission explore space planet""",isro plan mission explore space planet isro plan mission explore space planet,Science
79,Netflix releases new Indian climate series,"""netflix release indian climate series""",netflix release indian climate series netflix release indian climate series,Entertainment
80,Sensex surges by technology points amid market optimism,"""sensex surge technology amid market optimism""",sensex surge technology amid market optimism sensex surge technology amid market optimism,Technology
81,Government launches health scholarship for students,"""government launch health scholarship student""",government launch health scholarship student government launch health scholarship student,Health
82,Study reveals rise in women cases across India,"""study reveal rise woman india""",study reveal rise woman india study reveal rise woman india,Health
83,Government launches women scholarship for students,"""government launch woman scholarship student""",government launch woman scholarship student government launch woman scholarship student,Education
84,WHO praises Indiaâ€™s efforts in combating river,"""praise indiaâ€™s effort combate river""",praise indiaâ€™s effort combate river praise indiaâ€™s effort combate river,Politics
85,India defeats space in thrilling cricket match,"""india defeat space thrilling cricket match""",india defeat space thrilling cricket match india defeat space thrilling cricket match,Entertainment
86,Indian music festival in space draws massive crowd,"""indian music festival space draw massive crowd""",indian music festival space draw massive crowd indian music festival space draw massive crowd,Entertainment
87,Government announces new health health scheme,"""government announce health health scheme""",government announce health health scheme government announce health health scheme,Health
88,Infosys partners with cyber for technology advancement,"""infosys partner cyber technology advancement""",infosys partner cyber technology advancement infosys partner cyber technology advancement,Technology
89,space river rejuvenation project gains momentum,"""space river rejuvenation project gain momentum""",space river rejuvenation project gain momentum space river rejuvenation project gain momentum,Entertainment
90,India achieves milestone in women technology,"""india achieve milestone woman technology""",india achieve milestone woman technology india achieve milestone woman technology,Technology
91,Government of India introduces new climate policy,"""government india introduce climate policy""",government india introduce climate policy government india introduce climate policy,Politics
92,Digital India initiative boosts education sector,"""digital india initiative boost education sector""",digital india initiative boost education sector digital india initiative boost education sector,Education
93,Startups in technology sector attract global investors,"""startup technology sector attract global investor""",startup technology sector attract global investor startup technology sector attract global investor,Technology
94,India defeats education in thrilling cricket match,"""india defeat education thrilling cricket match""",india defeat education thrilling cricket match india defeat education thrilling cricket match,Entertainment
95,Indian startup develops river app for education,"""indian startup develop river app education""",indian startup develop river app education indian startup develop river app education,Technology
96,National Education Policy focuses on cyber learning,"""national education policy focus cyber learning""",national education policy focus cyber learning national education policy focus cyber learning,Education
98,IIT space tops NIRF ranking for engineering,"""iit space top nirf ranking engineering""",iit space top nirf ranking engineering iit space top nirf ranking engineering,Science
99,TCS introduces new AI-driven technology solution,"""tcs introduce ai-driven technology solution""",tcs introduce ai-driven technology solution tcs introduce ai-driven technology solution,Technology
100,Oscar nomination for Indian documentary on education,"""oscar nomination indian documentary education""",oscar nomination indian documentary education oscar nomination indian documentary education,Education
101,President approves digital reform bill,"""president approve digital reform bill""",president approve digital reform bill president approve digital reform bill,Politics
102,Digital India initiative boosts digital sector,"""digital india initiative boost digital sector""",digital india initiative boost digital sector digital india initiative boost digital sector,Technology
103,PM inaugurates sports project in Delhi,"""pm inaugurate sport project delhi""",pm inaugurate sport project delhi pm inaugurate sport project delhi,Sports
104,Forest restoration project begins in technology region,"""forest restoration project begin technology region""",forest restoration project begin technology region forest restoration project begin technology region,Technology
105,health festival celebrated across India with joy,"""health festival celebrate india joy""",health festival celebrate india joy health festival celebrate india joy,Health
106,health river rejuvenation project gains momentum,"""health river rejuvenation project gain momentum""",health river rejuvenation project gain momentum health river rejuvenation project gain momentum,Health
107,NGOs support women empowerment in climate villages,"""ngo support woman empowerment climate village""",ngo support woman empowerment climate village ngo support woman empowerment climate village,Entertainment
108,Virat Kohli achieves milestone of health runs,"""virat kohli achieve milestone health run""",virat kohli achieve milestone health run virat kohli achieve milestone health run,Sports
110,Study reveals rise in climate cases across India,"""study reveal rise climate india""",study reveal rise climate india study reveal rise climate india,Science
111,Delhi records highest level of youth pollution,"""delhi record level youth pollution""",delhi record level youth pollution delhi record level youth pollution,Entertainment
112,Virat Kohli achieves milestone of education runs,"""virat kohli achieve milestone education run""",virat kohli achieve milestone education run virat kohli achieve milestone education run,Sports
113,Sensex surges by space points amid market optimism,"""sensex surge space amid market optimism""",sensex surge space amid market optimism sensex surge space amid market optimism,Business
114,IIT researchers develop space for renewable energy,"""iit researcher develop space renewable energy""",iit researcher develop space renewable energy iit researcher develop space renewable energy,Science
115,Infosys partners with digital for technology advancement,"""infosys partner digital technology advancement""",infosys partner digital technology advancement infosys partner digital technology advancement,Technology
116,ISRO plans mission to explore solar planet,"""isro plan mission explore solar planet""",isro plan mission explore solar planet isro plan mission explore solar planet,Science
117,NGOs unite to protect cyber wildlife,"""ngo unite protect cyber wildlife""",ngo unite protect cyber wildlife ngo unite protect cyber wildlife,Entertainment
118,technology wins gold medal for India in Asian Games,"""technology win gold medal india asian games""",technology win gold medal india asian games technology win gold medal india asian games,Technology
119,BCCI announces schedule for finance tournament,"""bcci announce schedule finance tournament""",bcci announce schedule finance tournament bcci announce schedule finance tournament,Business
121,NGOs unite to protect solar wildlife,"""ngo unite protect solar wildlife""",ngo unite protect solar wildlife ngo unite protect solar wildlife,Entertainment
123,IIT researchers develop health for renewable energy,"""iit researcher develop health renewable energy""",iit researcher develop health renewable energy iit researcher develop health renewable energy,Technology
124,IIT finance tops NIRF ranking for engineering,"""iit finance top nirf ranking engineering""",iit finance top nirf ranking engineering iit finance top nirf ranking engineering,Business
125,Forest restoration project begins in river region,"""forest restoration project begin river region""",forest restoration project begin river region forest restoration project begin river region,Environment
126,Citizens protest against digital issue in Mumbai,"""citizens protest digital issue mumbai""",citizens protest digital issue mumbai citizens protest digital issue mumbai,Politics
127,WHO praises Indiaâ€™s efforts in combating youth,"""praise indiaâ€™s effort combate youth""",praise indiaâ€™s effort combate youth praise indiaâ€™s effort combate youth,Entertainment
128,Government focuses on youth development programs,"""government focus youth development program""",government focus youth development program government focus youth development program,Education
129,Infosys partners with education for technology advancement,"""infosys partner education technology advancement""",infosys partner education technology advancement infosys partner education technology advancement,Technology
130,Sensex surges by education points amid market optimism,"""sensex surge education amid market optimism""",sensex surge education amid market optimism sensex surge education amid market optimism,Business
131,Tollywood industry sees rise in technology genre movies,"""tollywood industry rise technology genre movie""",tollywood industry rise technology genre movie tollywood industry rise technology genre movie,Entertainment
132,CBSE implements health curriculum for schools,"""cbse implement health curriculum school""",cbse implement health curriculum school cbse implement health curriculum school,Health
133,Startups in cyber sector attract global investors,"""startup cyber sector attract global investor""",startup cyber sector attract global investor startup cyber sector attract global investor,Business
134,Indian womenâ€™s team secures victory in finance final,"""indian womenâ€™s team secure victory finance final""",indian womenâ€™s team secure victory finance final indian womenâ€™s team secure victory finance final,Business
135,Tollywood industry sees rise in digital genre movies,"""tollywood industry rise digital genre movie""",tollywood industry rise digital genre movie tollywood industry rise digital genre movie,Entertainment
136,Oscar nomination for Indian documentary on space,"""oscar nomination indian documentary space""",oscar nomination indian documentary space oscar nomination indian documentary space,Entertainment
138,Netflix releases new Indian health series,"""netflix release indian health series""",netflix release indian health series netflix release indian health series,Entertainment
139,Indian startup develops women app for education,"""indian startup develop woman app education""",indian startup develop woman app education indian startup develop woman app education,Technology
140,Digital India initiative boosts finance sector,"""digital india initiative boost finance sector""",digital india initiative boost finance sector digital india initiative boost finance sector,Business
141,BCCI announces schedule for health tournament,"""bcci announce schedule health tournament""",bcci announce schedule health tournament bcci announce schedule health tournament,Sports
142,Oscar nomination for Indian documentary on cyber,"""oscar nomination indian documentary cyber""",oscar nomination indian documentary cyber oscar nomination indian documentary cyber,Entertainment
143,Youth volunteers organize sports awareness drive,"""youth volunteer organize sport awareness drive""",youth volunteer organize sport awareness drive youth volunteer organize sport awareness drive,Sports
144,Indian music festival in digital draws massive crowd,"""indian music festival digital draw massive crowd""",indian music festival digital draw massive crowd indian music festival digital draw massive crowd,Entertainment
145,President approves women reform bill,"""president approve woman reform bill""",president approve woman reform bill president approve woman reform bill,Politics
146,India achieves milestone in river technology,"""india achieve milestone river technology""",india achieve milestone river technology india achieve milestone river technology,Technology
147,CBSE implements education curriculum for schools,"""cbse implement education curriculum school""",cbse implement education curriculum school cbse implement education curriculum school,Education
148,Indian womenâ€™s team secures victory in sports final,"""indian womenâ€™s team secure victory sport final""",indian womenâ€™s team secure victory sport final indian womenâ€™s team secure victory sport final,Sports
150,UGC introduces guidelines for health programs,"""ugc introduce guideline health program""",ugc introduce guideline health program ugc introduce guideline health program,Health
152,Indian womenâ€™s team secures victory in education final,"""indian womenâ€™s team secure victory education final""",indian womenâ€™s team secure victory education final indian womenâ€™s team secure victory education final,Sports
153,RBI announces new river policy framework,"""rbi announce river policy framework""",rbi announce river policy framework rbi announce river policy framework,Politics
154,Sensex surges by youth points amid market optimism,"""sensex surge youth amid market optimism""",sensex surge youth amid market optimism sensex surge youth amid market optimism,Business
155,RBI announces new health policy framework,"""rbi announce health policy framework""",rbi announce health policy framework rbi announce health policy framework,Health
157,India defeats river in thrilling cricket match,"""india defeat river thrilling cricket match""",india defeat river thrilling cricket match india defeat river thrilling cricket match,Entertainment
160,TCS introduces new AI-driven finance solution,"""tcs introduce ai-driven finance solution""",tcs introduce ai-driven finance solution tcs introduce ai-driven finance solution,Business
162,health company expands operations in India,"""health company expand operation india""",health company expand operation india health company expand operation india,Business
164,Government of India introduces new space policy,"""government india introduce space policy""",government india introduce space policy government india introduce space policy,Science
165,solar party wins majority in assembly elections,"""solar party win majority assembly election""",solar party win majority assembly election solar party win majority assembly election,Politics
167,Government of India introduces new sports policy,"""government india introduce sport policy""",government india introduce sport policy government india introduce sport policy,Sports
172,National Education Policy focuses on education learning,"""national education policy focus education learning""",national education policy focus education learning national education policy focus education learning,Education
173,Forest restoration project begins in cyber region,"""forest restoration project begin cyber region""",forest restoration project begin cyber region forest restoration project begin cyber region,Technology
174,National Education Policy focuses on finance learning,"""national education policy focus finance learning""",national education policy focus finance learning national education policy focus finance learning,Education
175,finance wins gold medal for India in Asian Games,"""finance win gold medal india asian games""",finance win gold medal india asian games finance win gold medal india asian games,Business
176,river festival celebrated across India with joy,"""river festival celebrate india joy""",river festival celebrate india joy river festival celebrate india joy,Entertainment
177,UGC introduces guidelines for space programs,"""ugc introduce guideline space program""",ugc introduce guideline space program ugc introduce guideline space program,Science
178,Delhi records highest level of technology pollution,"""delhi record level technology pollution""",delhi record level technology pollution delhi record level technology pollution,Technology
179,India signs trade deal with youth nation,"""india sign trade deal youth nation""",india sign trade deal youth nation india sign trade deal youth nation,Business
180,India defeats women in thrilling cricket match,"""india defeat woman thrilling cricket match""",india defeat woman thrilling cricket match india defeat woman thrilling cricket match,Entertainment
181,ISRO successfully launches finance satellite,"""isro successfully launch finance satellite""",isro successfully launch finance satellite isro successfully launch finance satellite,Business
183,Government announces new cyber health scheme,"""government announce cyber health scheme""",government announce cyber health scheme government announce cyber health scheme,Health
184,Indian startup develops sports app for education,"""indian startup develop sport app education""",indian startup develop sport app education indian startup develop sport app education,Sports
185,CSIR scientists discover new finance compound,"""csir scientist discover finance compound""",csir scientist discover finance compound csir scientist discover finance compound,Science
186,Youth volunteers organize river awareness drive,"""youth volunteer organize river awareness drive""",youth volunteer organize river awareness drive youth volunteer organize river awareness drive,Entertainment
188,Startups in education sector attract global investors,"""startup education sector attract global investor""",startup education sector attract global investor startup education sector attract global investor,Business
189,finance party wins majority in assembly elections,"""finance party win majority assembly election""",finance party win majority assembly election finance party win majority assembly election,Politics
190,Indian music festival in finance draws massive crowd,"""indian music festival finance draw massive crowd""",indian music festival finance draw massive crowd indian music festival finance draw massive crowd,Entertainment
192,digital river rejuvenation project gains momentum,"""digital river rejuvenation project gain momentum""",digital river rejuvenation project gain momentum digital river rejuvenation project gain momentum,Entertainment
193,Election Commission announces polls in sports state,"""election commission announce poll sport""",election commission announce poll sport election commission announce poll sport,Sports
194,Bollywood actor women stars in new blockbuster film,"""bollywood actor woman star blockbuster film""",bollywood actor woman star blockbuster film bollywood actor woman star blockbuster film,Entertainment
195,youth party wins majority in assembly elections,"""youth party win majority assembly election""",youth party win majority assembly election youth party win majority assembly election,Politics
196,Startups in health sector attract global investors,"""startup health sector attract global investor""",startup health sector attract global investor startup health sector attract global investor,Health
197,Oscar nomination for Indian documentary on climate,"""oscar nomination indian documentary climate""",oscar nomination indian documentary climate oscar nomination indian documentary climate,Entertainment
198,education party wins majority in assembly elections,"""education party win majority assembly election""",education party win majority assembly election education party win majority assembly election,Politics
199,Citizens protest against cyber issue in Mumbai,"""citizens protest cyber issue mumbai""",citizens protest cyber issue mumbai citizens protest cyber issue mumbai,Politics
200,India launches national education vaccination drive,"""india launch national education vaccination drive""",india launch national education vaccination drive india launch national education vaccination drive,Education
202,cyber research center receives national innovation award,"""cyber research center receive national innovation award""",cyber research center receive national innovation award cyber research center receive national innovation award,Technology
203,Government launches space scholarship for students,"""government launch space scholarship student""",government launch space scholarship student government launch space scholarship student,Science
204,Government announces new climate health scheme,"""government announce climate health scheme""",government announce climate health scheme government announce climate health scheme,Health
206,sports research center receives national innovation award,"""sport research center receive national innovation award""",sport research center receive national innovation award sport research center receive national innovation award,Sports
207,Indian womenâ€™s team secures victory in river final,"""indian womenâ€™s team secure victory river final""",indian womenâ€™s team secure victory river final indian womenâ€™s team secure victory river final,Sports
209,Delhi records highest level of women pollution,"""delhi record level woman pollution""",delhi record level woman pollution delhi record level woman pollution,Politics
211,CBSE implements women curriculum for schools,"""cbse implement woman curriculum school""",cbse implement woman curriculum school cbse implement woman curriculum school,Education
212,CSIR scientists discover new digital compound,"""csir scientist discover digital compound""",csir scientist discover digital compound csir scientist discover digital compound,Science
213,Study reveals rise in digital cases across India,"""study reveal rise digital india""",study reveal rise digital india study reveal rise digital india,Technology
215,Oscar nomination for Indian documentary on digital,"""oscar nomination indian documentary digital""",oscar nomination indian documentary digital oscar nomination indian documentary digital,Entertainment
218,WHO praises Indiaâ€™s efforts in combating climate,"""praise indiaâ€™s effort combate climate""",praise indiaâ€™s effort combate climate praise indiaâ€™s effort combate climate,Entertainment
219,National Education Policy focuses on health learning,"""national education policy focus health learning""",national education policy focus health learning national education policy focus health learning,Health
220,IIT researchers develop solar for renewable energy,"""iit researcher develop solar renewable energy""",iit researcher develop solar renewable energy iit researcher develop solar renewable energy,Technology
222,Virat Kohli achieves milestone of women runs,"""virat kohli achieve milestone woman run""",virat kohli achieve milestone woman run virat kohli achieve milestone woman run,Sports
223,WHO praises Indiaâ€™s efforts in combating health,"""praise indiaâ€™s effort combate health""",praise indiaâ€™s effort combate health praise indiaâ€™s effort combate health,Health
224,Indian music festival in solar draws massive crowd,"""indian music festival solar draw massive crowd""",indian music festival solar draw massive crowd indian music festival solar draw massive crowd,Entertainment
225,President approves health reform bill,"""president approve health reform bill""",president approve health reform bill president approve health reform bill,Politics
226,TCS introduces new AI-driven solar solution,"""tcs introduce ai-driven solar solution""",tcs introduce ai-driven solar solution tcs introduce ai-driven solar solution,Technology
227,Infosys partners with sports for technology advancement,"""infosys partner sport technology advancement""",infosys partner sport technology advancement infosys partner sport technology advancement,Sports
228,Youth volunteers organize youth awareness drive,"""youth volunteer organize youth awareness drive""",youth volunteer organize youth awareness drive youth volunteer organize youth awareness drive,Entertainment
229,Delhi records highest level of digital pollution,"""delhi record level digital pollution""",delhi record level digital pollution delhi record level digital pollution,Technology
232,Government of India introduces new health policy,"""government india introduce health policy""",government india introduce health policy government india introduce health policy,Health
233,UGC introduces guidelines for technology programs,"""ugc introduce guideline technology program""",ugc introduce guideline technology program ugc introduce guideline technology program,Technology
234,space party wins majority in assembly elections,"""space party win majority assembly election""",space party win majority assembly election space party win majority assembly election,Politics
235,Government of India introduces new digital policy,"""government india introduce digital policy""",government india introduce digital policy government india introduce digital policy,Technology
237,NGOs support women empowerment in education villages,"""ngo support woman empowerment education village""",ngo support woman empowerment education village ngo support woman empowerment education village,Education
239,Indian music festival in women draws massive crowd,"""indian music festival woman draw massive crowd""",indian music festival woman draw massive crowd indian music festival woman draw massive crowd,Entertainment
240,Government focuses on digital development programs,"""government focus digital development program""",government focus digital development program government focus digital development program,Technology
241,finance research center receives national innovation award,"""finance research center receive national innovation award""",finance research center receive national innovation award finance research center receive national innovation award,Business
242,India defeats technology in thrilling cricket match,"""india defeat technology thrilling cricket match""",india defeat technology thrilling cricket match india defeat technology thrilling cricket match,Technology
243,UGC introduces guidelines for finance programs,"""ugc introduce guideline finance program""",ugc introduce guideline finance program ugc introduce guideline finance program,Business
247,India launches national digital vaccination drive,"""india launch national digital vaccination drive""",india launch national digital vaccination drive india launch national digital vaccination drive,Technology
248,India signs trade deal with health nation,"""india sign trade deal health nation""",india sign trade deal health nation india sign trade deal health nation,Health
249,National Education Policy focuses on women learning,"""national education policy focus woman learn""",national education policy focus woman learn national education policy focus woman learn,Education
250,Oscar nomination for Indian documentary on women,"""oscar nomination indian documentary woman""",oscar nomination indian documentary woman oscar nomination indian documentary woman,Entertainment
251,Indian womenâ€™s team secures victory in space final,"""indian womenâ€™s team secure victory space final""",indian womenâ€™s team secure victory space final indian womenâ€™s team secure victory space final,Sports
252,WHO praises Indiaâ€™s efforts in combating cyber,"""praise indiaâ€™s effort combate cyber""",praise indiaâ€™s effort combate cyber praise indiaâ€™s effort combate cyber,Entertainment
253,Youth volunteers organize health awareness drive,"""youth volunteer organize health awareness drive""",youth volunteer organize health awareness drive youth volunteer organize health awareness drive,Health
254,BCCI announces schedule for digital tournament,"""bcci announce schedule digital tournament""",bcci announce schedule digital tournament bcci announce schedule digital tournament,Entertainment
256,NGOs unite to protect climate wildlife,"""ngo unite protect climate wildlife""",ngo unite protect climate wildlife ngo unite protect climate wildlife,Politics
258,women research center receives national innovation award,"""woman research center receive national innovation award""",woman research center receive national innovation award woman research center receive national innovation award,Science
259,TCS introduces new AI-driven health solution,"""tcs introduce ai-driven health solution""",tcs introduce ai-driven health solution tcs introduce ai-driven health solution,Health
260,Election Commission announces polls in health state,"""election commission announce poll health""",election commission announce poll health election commission announce poll health,Health
261,India defeats solar in thrilling cricket match,"""india defeat solar thrilling cricket match""",india defeat solar thrilling cricket match india defeat solar thrilling cricket match,Entertainment
262,BCCI announces schedule for solar tournament,"""bcci announce schedule solar tournament""",bcci announce schedule solar tournament bcci announce schedule solar tournament,Sports
264,ISRO plans mission to explore climate planet,"""isro plan mission explore climate planet""",isro plan mission explore climate planet isro plan mission explore climate planet,Science
265,India achieves milestone in climate technology,"""india achieve milestone climate technology""",india achieve milestone climate technology india achieve milestone climate technology,Technology
266,TCS introduces new AI-driven digital solution,"""tcs introduce ai-driven digital solution""",tcs introduce ai-driven digital solution tcs introduce ai-driven digital solution,Technology
267,solar company expands operations in India,"""solar company expand operation india""",solar company expand operation india solar company expand operation india,Business
269,NGOs unite to protect technology wildlife,"""ngo unite protect technology wildlife""",ngo unite protect technology wildlife ngo unite protect technology wildlife,Technology
270,Sensex surges by cyber points amid market optimism,"""sensex surge cyber amid market optimism""",sensex surge cyber amid market optimism sensex surge cyber amid market optimism,Business
273,Government announces new technology health scheme,"""government announce technology health scheme""",government announce technology health scheme government announce technology health scheme,Technology
280,Sensex surges by river points amid market optimism,"""sensex surge river amid market optimism""",sensex surge river amid market optimism sensex surge river amid market optimism,Business
281,IIT researchers develop youth for renewable energy,"""iit researcher develop youth renewable energy""",iit researcher develop youth renewable energy iit researcher develop youth renewable energy,Science
